Reading no.,Front Pen X (cm),Front Pen Y (cm),Back Left Pen X (cm),Back Left Pen Y (cm),Back Right Pen X (cm),Back Right Pen Y (cm),Final Robot Pose X (cm),Final Robot Pose Y (cm),θ (degrees),final_theta_radians
1,30.2,47.8,10.7,40.9,14.7,34.1,18.5,40.9,30,0.5236
2,29.8,48.7,10.3,41.7,14.4,34.8,18.2,41.7,31,0.5411
3,31.8,47.0,12.0,40.9,14.7,33.9,19.5,40.6,27,0.4712
4,32.5,47.4,12.5,41.8,16.2,34.7,20.4,41.3,27,0.4712
5,32.0,47.8,12.1,41.9,15.7,31.8,19.9,40.5,31,0.5411
6,30.4,48.6,10.8,41.6,14.9,34.7,18.7,41.6,31,0.5411
7,32.5,47.3,12.6,41.6,16.2,34.4,20.4,41.1,27,0.4712
8,30.2,48.1,10.7,41.3,14.7,34.3,18.5,41.2,30,0.5236
9,32.5,47.7,12.5,42.1,16.2,34.9,20.4,41.6,27,0.4712
10,31.4,48.4,11.7,42.1,15.5,35.1,19.5,41.9,29,0.5061
11,32.2,46.6,12.2,41.0,15.7,33.9,20.0,40.5,27,0.4712
12,30.5,48.4,10.8,41.6,14.8,34.8,18.7,41.6,30,0.5236
13,30.4,49.1,10.8,42.1,14.7,34.6,18.6,41.9,31,0.5411
14,31.3,48.9,11.6,42.4,15.4,35.3,19.4,42.2,29,0.5061
15,32.5,48.8,12.5,41.8,16.1,34.6,20.4,41.7,30,0.5236
16,31.3,47.7,12.3,42.0,15.5,34.9,19.7,41.5,28,0.4887
17,30.2,47.9,12.4,41.0,15.8,34.9,19.5,41.3,32,0.5585
18,32.2,47.7,11.1,42.1,15.3,34.4,19.5,41.4,26,0.4538
19,30.9,48.1,12.0,41.0,15.2,34.7,19.4,41.3,31,0.5411
20,32.2,47.3,11.6,42.1,15.2,34.9,19.7,41.4,25,0.4363
21,32.2,49.0,11.5,41.3,14.9,34.6,19.5,41.6,30,0.5236
22,31.8,48.3,12.2,41.7,15.4,34.3,19.8,41.4,30,0.5236
23,31.9,47.5,12.4,41.6,15.3,34.5,19.9,41.2,28,0.4887
24,29.9,48.6,12.0,41.8,15.0,35.0,19.0,41.8,32,0.5585
25,30.3,47.9,11.5,41.3,14.9,34.7,18.9,41.3,30,0.5236
